# name                          ?       FEC   mfec  mfecchannel hubaddress portadd   rocid     FED   channel     roc#
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC0 A       1       7        1       3        0        0         40        29        0
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC1 A       1       7        1       3        0        1         40        29        1
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC2 A       1       7        1       3        0        2         40        29        2
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC3 A       1       7        1       3        0        3         40        29        3
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC4 A       1       7        1       3        1        4         40        29        4
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC5 A       1       7        1       3        1        5         40        29        5
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC6 A       1       7        1       3        1        6         40        29        6
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC7 A       1       7        1       3        1        7         40        29        7
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC8 B       1       7        1       3        2        8         40        30        0
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC9 B       1       7        1       3        2        9         40        30        1
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC10 B      1       7        1       3        2       10         40        30        2
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC11 B      1       7        1       3        2       11         40        30        3
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC12 B      1       7        1       3        3       12         40        30        4
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC13 B      1       7        1       3        3       13         40        30        5
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC14 B      1       7        1       3        3       14         40        30        6
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC15 B      1       7        1       3        3       15         40        30        7
